t,average_battery_percentage,total_current_power_demand,total_VTG_capacity,mean_charging
0,100.0,,,
1,95.56180412701472,140946.37478882022,9919.981389022803,0.56544
2,95.6544,9783.684416256814,136.29697276598975,0.06544
3,95.6544,0.0,136.29697276598975,0.0
4,95.6544,0.0,136.29697276598975,0.0
5,95.6544,0.0,136.29697276598975,0.0
6,95.6544,0.0,136.29697276598975,0.0
7,95.6544,0.0,136.29697276598975,0.0
8,95.6544,0.0,136.29697276598975,0.0
9,95.6544,0.0,136.29697276598975,0.0
10,95.6544,0.0,136.29697276598975,0.0
11,95.6544,0.0,136.29697276598975,0.0
12,95.6544,0.0,136.29697276598975,0.0
13,95.6544,0.0,136.29697276598975,0.0
14,95.6544,0.0,136.29697276598975,0.0
15,95.6544,0.0,136.29697276598975,0.0
16,95.6544,0.0,136.29697276598975,0.0
17,95.6544,0.0,136.29697276598975,0.0
18,95.6544,0.0,136.29697276598975,0.0
19,95.6544,0.0,136.29697276598975,0.0
20,95.6544,0.0,136.29697276598975,0.0
21,95.6544,0.0,136.29697276598975,0.0
22,95.6544,0.0,136.29697276598975,0.0
23,95.6544,0.0,136.29697276598975,0.0
24,95.6544,0.0,136.29697276598975,0.0
25,95.6544,0.0,136.29697276598975,0.0
26,95.6544,0.0,136.29697276598975,0.0
27,95.6544,0.0,136.29697276598975,0.0
28,95.6544,0.0,136.29697276598975,0.0
29,95.64839198470467,0.0,136.29697276598975,0.0
30,95.62029562608329,107.76178010321658,157.08654246327418,0.00044
31,95.55196664625052,684.0009436533278,304.0531281755735,0.00276
32,95.43029442859903,1503.2015133923062,653.5015954252792,0.00612
33,95.25277718454464,3038.9170852448447,1364.6479338020793,0.01216
34,95.00949188356329,4225.061854899311,2470.3954438101655,0.01652
35,94.7419641598887,6451.960794218111,4220.481287131038,0.02596
36,94.41638818924008,7343.079617556005,6372.618878838759,0.02972
37,94.05582837395833,9483.116664812438,9229.562790432472,0.03892
38,93.62528987430296,10895.722471351877,12600.61720667239,0.04444
39,93.14990956021022,13419.503706773627,16544.873928934972,0.054
40,92.63056978657842,14208.897395423008,21200.235256026663,0.05784
41,92.08834069004823,16132.95345944611,26317.04328868721,0.06504
42,91.71060719539821,18164.866305751515,32042.42439884597,0.07372
43,91.61545061436458,16109.183472717137,37986.85540398872,0.0656
44,91.63879651661948,9680.087138513196,41808.46273230203,0.04052
45,91.69212717496393,5663.967228512803,44969.19384209272,0.02376
46,91.70819648186546,3459.792412451481,46537.11000745395,0.01492
47,91.75806526322927,3061.931825912294,48151.28284107878,0.01308
48,91.81257143443776,2667.242500137409,49350.82904361385,0.01156
49,91.87333462923479,2539.088032984606,50085.391813475595,0.0106
50,91.92240331600871,2321.072092399302,50465.303966528,0.00952
51,91.97377644725186,2349.0847692509033,51217.814647209954,0.00964
52,92.01122928969119,2299.1723635355434,51303.47049521933,0.00976
53,92.03607758094873,2383.307935018796,51464.78336130241,0.00988
54,92.05094197313453,2713.5159002257933,51771.33898049705,0.01112
55,92.07045030560637,3403.0524217331945,52205.523554524785,0.0138
